4.5176 , -1 , -1 , 56.1936 , 55.7104 , 
9.0352 , -1 , -1 , 56.4252 , 55.7259 , 
13.5528 , -1 , -1 , 56.6568 , 55.7414 , 
18.0704 , -1 , -1 , 56.8884 , 55.757 , 
22.588 , -1 , -1 , 57.1851 , 55.7822 , 
27.1056 , -1 , -1 , 58.0302 , 55.8887 , 
31.6232 , -1 , -1 , 59.0755 , 56.0248 , 
36.1408 , -1 , -1 , 60.3209 , 56.1907 , 
40.6584 , -1 , -1 , 61.7665 , 56.3862 , 
45.176 , -1 , -1 , 63.4142 , 56.7937 , 
49.6936 , -1 , -1 , 65.2695 , 57.9205 , 
54.2112 , -1 , -1 , 67.3279 , 59.3499 , 
58.7288 , -1 , -1 , 69.5893 , 61.082 , 
63.2464 , -1 , -1 , 72.0538 , 63.1165 , 
67.764 , -1 , -1 , 74.6265 , 65.5013 , 
72.2816 , -1 , -1 , 77.1896 , 68.295 , 
76.7992 , -1 , -1 , 79.8634 , 71.4376 , 
81.3168 , -1 , -1 , 82.6477 , 74.9291 , 
85.8344 , -1 , -1 , 85.5427 , 78.7695 , 
90.352 , -1 , -1 , 88.4786 , 82.5069 , 
94.8696 , -1 , -1 , 91.4234 , 85.9321 , 
99.3872 , -1 , -1 , 94.4293 , 89.3842 , 
103.905 , -1 , -1 , 97.4961 , 92.8631 , 
108.422 , -1 , -1 , 100.624 , 96.3688 , 
112.94 , -1 , -1 , 103.766 , 99.8581 , 
117.458 , -1 , -1 , 106.922 , 103.331 , 
121.975 , -1 , -1 , 110.112 , 106.807 , 
126.493 , -1 , -1 , 113.338 , 110.286 , 
131.01 , -1 , -1 , 116.598 , 113.767 , 
135.528 , -1 , -1 , 119.861 , 117.246 , 
140.046 , -1 , -1 , 123.138 , 120.724 , 
144.563 , -1 , -1 , 126.435 , 124.202 , 
149.081 , -1 , -1 , 129.753 , 127.681 , 
153.598 , -1 , -1 , 133.091 , 131.159 , 
158.116 , -1 , -1 , 136.429 , 134.638 , 
162.634 , -1 , -1 , 139.778 , 138.116 , 
167.151 , -1 , -1 , 143.139 , 141.595 , 
171.669 , -1 , -1 , 146.512 , 145.073 , 
176.186 , -1 , -1 , 149.898 , 148.552 , 
180.704 , -1 , -1 , 153.282 , 152.03 , 
185.222 , -1 , -1 , 156.675 , 155.508 , 
189.739 , -1 , -1 , 160.075 , 158.987 , 
194.257 , -1 , -1 , 163.483 , 162.465 , 
198.774 , -1 , -1 , 166.898 , 165.944 , 
203.292 , -1 , -1 , 170.313 , 169.422 , 
207.81 , -1 , -1 , 173.733 , 172.901 , 
212.327 , -1 , -1 , 177.158 , 176.379 , 
216.845 , -1 , -1 , 180.588 , 179.857 , 
221.362 , -1 , -1 , 184.021 , 183.336 , 
