0 , 34.8131
5.647 , 34.4258
11.294 , 34.0385
16.941 , 33.6512
22.588 , 33.2639
28.235 , 32.8766
33.882 , 29.0875
39.529 , 25.2985
45.176 , 21.5095
50.823 , 17.7205
56.47 , 13.9315
62.117 , 12.1537
67.764 , 10.3758
73.411 , 8.59792
79.058 , 6.82005
84.705 , 5.04218
90.352 , 4.37961
95.999 , 3.71704
101.646 , 3.05447
107.293 , 2.3919
112.94 , 1.72933
118.587 , 1.53284
124.234 , 1.33635
129.881 , 1.13986
135.528 , 0.943365
141.175 , 0.746874
146.822 , 0.800641
152.469 , 0.854408
158.116 , 0.908175
163.763 , 0.961942
169.41 , 1.01571
175.057 , 1.50002
180.704 , 1.98432
186.351 , 2.46863
191.998 , 2.95294
197.645 , 3.43724
203.292 , 5.39401
208.939 , 7.35078
214.586 , 9.30755
220.233 , 11.2643
225.88 , 13.2211
231.527 , 21.0799
237.174 , 28.9387
242.821 , 36.7976
248.468 , 44.6564
254.115 , 52.5152
259.762 , 83.0225
265.409 , 113.53
271.056 , 144.037
276.703 , 174.544
